% Moku:Go Oscilloscope
% Channel A (on)
% Channel B (off)
% Time span 1.000 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output B (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2026-04-30 T 13:57:31 +0200
% Time (s), Channel A (Input A) (V)
-2.608800000000e-04, -1.221300e-03
-2.598240000000e-04, -1.221300e-03
-2.587680000000e-04, -1.221300e-03
-2.577120000000e-04, -1.221300e-03
-2.566560000000e-04, -1.221300e-03
-2.556000000000e-04, -1.221300e-03
-2.545440000000e-04, -1.221300e-03
-2.534880000000e-04, -1.221300e-03
-2.524320000000e-04, -1.221300e-03
-2.513760000000e-04, -1.221300e-03
-2.503200000000e-04, -1.221300e-03
-2.492640000000e-04, -1.221300e-03
-2.482080000000e-04, -1.221300e-03
-2.471520000000e-04, -1.221300e-03
-2.460960000000e-04, -1.221300e-03
-2.450400000000e-04, -1.221300e-03
-2.439840000000e-04, -1.221300e-03
-2.429280000000e-04, -2.442599e-03
-2.418720000000e-04, -1.221300e-03
-2.408160000000e-04, -1.221300e-03
-2.397600000000e-04, -2.442599e-03
-2.387040000000e-04, -1.221300e-03
-2.376480000000e-04, -1.221300e-03
-2.365920000000e-04, -1.221300e-03
-2.355360000000e-04, -1.221300e-03
-2.344800000000e-04, -1.221300e-03
-2.334240000000e-04, -1.221300e-03
-2.323680000000e-04, -1.221300e-03
-2.313120000000e-04, -2.442599e-03
-2.302560000000e-04, -1.221300e-03
-2.292000000000e-04, -1.221300e-03
-2.281440000000e-04, -1.221300e-03
-2.270880000000e-04, -1.221300e-03
-2.260320000000e-04, -1.221300e-03
-2.249760000000e-04, -1.221300e-03
-2.239200000000e-04, -2.442599e-03
-2.228640000000e-04, -1.221300e-03
-2.218080000000e-04, -2.442599e-03
-2.207520000000e-04, -2.442599e-03
-2.196960000000e-04, -2.442599e-03
-2.186400000000e-04, -2.442599e-03
-2.175840000000e-04, -1.221300e-03
-2.165280000000e-04, -3.663899e-03
-2.154720000000e-04, -1.221300e-03
-2.144160000000e-04, -2.442599e-03
-2.133600000000e-04, -2.442599e-03
-2.123040000000e-04, -2.442599e-03
-2.112480000000e-04, -2.442599e-03
-2.101920000000e-04, -1.221300e-03
-2.091360000000e-04, -1.221300e-03
-2.080800000000e-04, -2.442599e-03
-2.070240000000e-04, -1.221300e-03
-2.059680000000e-04, -1.221300e-03
-2.049120000000e-04, -2.442599e-03
-2.038560000000e-04, -1.221300e-03
-2.028000000000e-04, -1.221300e-03
-2.017440000000e-04, -1.221300e-03
-2.006880000000e-04, -2.442599e-03
-1.996320000000e-04, -1.221300e-03
-1.985760000000e-04, -1.221300e-03
-1.975200000000e-04, -1.221300e-03
-1.964640000000e-04, -1.221300e-03
-1.954080000000e-04, -1.221300e-03
-1.943520000000e-04, -1.221300e-03
-1.932960000000e-04, -1.221300e-03
-1.922400000000e-04, -1.221300e-03
-1.911840000000e-04, -1.221300e-03
-1.901280000000e-04, -1.221300e-03
-1.890720000000e-04, -2.442599e-03
-1.880160000000e-04, -2.442599e-03
-1.869600000000e-04, -3.663899e-03
-1.859040000000e-04, -3.663899e-03
-1.848480000000e-04, -3.663899e-03
-1.837920000000e-04, -2.442599e-03
-1.827360000000e-04, -1.221300e-03
-1.816800000000e-04, -1.221300e-03
-1.806240000000e-04, -2.442599e-03
-1.795680000000e-04, -1.221300e-03
-1.785120000000e-04, -2.442599e-03
-1.774560000000e-04, -3.663899e-03
-1.764000000000e-04, -2.442599e-03
-1.753440000000e-04, -2.442599e-03
-1.742880000000e-04, -2.442599e-03
-1.732320000000e-04, -1.221300e-03
-1.721760000000e-04, -1.221300e-03
-1.711200000000e-04, -2.442599e-03
-1.700640000000e-04, 0.000000e+00
