% Moku:Go Frequency Response Analyzer
% Measurement mode: In / Out (dB)
% Channel 1 (on), DC, 30 MHz, 1 MOhm, 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Channel 2 (off), DC, 30 MHz, 1 MOhm, 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Logarithmic sweep from 750.7100 Hz to 897.0110 Hz with 2,048 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 935.0 ns (auto), normalization off
% Averaging time 1.00 us, 3 cycles; Settling time 10.0 us, 3 cycles
% 
% Acquired 2026-04-30 T 14:57:20 +0200
% Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
8.04734169e+02, -1.0735e+01, -1.4388e+02
8.04762601e+02, -1.0731e+01, -1.4347e+02
8.04791035e+02, -1.1239e+01, -1.4322e+02
8.04819469e+02, -1.0417e+01, -1.4502e+02
8.04847905e+02, -1.0757e+01, -1.4118e+02
8.04876341e+02, -1.1042e+01, -1.4234e+02
8.04904779e+02, -1.0443e+01, -1.4538e+02
8.04933217e+02, -9.8748e+00, -1.3785e+02
8.04961657e+02, -1.1129e+01, -1.4519e+02
8.04990098e+02, -1.0298e+01, -1.4528e+02
8.05018539e+02, -1.0835e+01, -1.4344e+02
8.05046982e+02, -1.0795e+01, -1.4452e+02
8.05075425e+02, -1.0757e+01, -1.4523e+02
8.05103870e+02, -1.1000e+01, -1.4206e+02
8.05132315e+02, -1.0420e+01, -1.4601e+02
8.05160762e+02, -1.0841e+01, -1.4149e+02
8.05189210e+02, -1.0866e+01, -1.4133e+02
8.05217658e+02, -9.4300e+00, -1.5736e+02
8.05246108e+02, -1.2470e+01, -1.2871e+02
8.05274559e+02, -1.0542e+01, -1.4299e+02
8.05303010e+02, -1.0910e+01, -1.4403e+02
8.05331463e+02, -1.0854e+01, -1.4323e+02
8.05359916e+02, -1.0134e+01, -1.4425e+02
8.05388371e+02, -1.0936e+01, -1.4260e+02
8.05416827e+02, -1.1525e+01, -1.4012e+02
8.05445283e+02, -1.0212e+01, -1.4374e+02
8.05473741e+02, -1.1027e+01, -1.4311e+02
8.05502200e+02, -1.0166e+01, -1.3411e+02
8.05530659e+02, -1.0369e+01, -1.4225e+02
8.05559120e+02, -1.1064e+01, -1.4195e+02
8.05587582e+02, -9.9561e+00, -1.4561e+02
8.05616044e+02, -1.0626e+01, -1.4166e+02
8.05644508e+02, -1.1000e+01, -1.4413e+02
