% Moku:Go Oscilloscope
% Channel A (on)
% Channel B (off)
% Time span 1.000 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output B (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2026-04-30 T 15:35:36 +0200
% Time (s), Channel A (Input A) (V)
-4.060800000000e-04, 2.076209e-02
-4.050240000000e-04, 2.076209e-02
-4.039680000000e-04, 2.076209e-02
-4.029120000000e-04, 2.076209e-02
-4.018560000000e-04, 2.076209e-02
-4.008000000000e-04, 2.076209e-02
-3.997440000000e-04, 2.076209e-02
-3.986880000000e-04, 2.076209e-02
-3.976320000000e-04, 2.076209e-02
-3.965760000000e-04, 2.076209e-02
-3.955200000000e-04, 2.076209e-02
-3.944640000000e-04, 2.076209e-02
-3.934080000000e-04, 2.076209e-02
-3.923520000000e-04, 2.076209e-02
-3.912960000000e-04, 2.076209e-02
-3.902400000000e-04, 2.076209e-02
-3.891840000000e-04, 2.076209e-02
-3.881280000000e-04, 2.076209e-02
-3.870720000000e-04, 2.076209e-02
-3.860160000000e-04, 2.076209e-02
-3.849600000000e-04, 2.076209e-02
-3.839040000000e-04, 2.198339e-02
-3.828480000000e-04, 2.198339e-02
-3.817920000000e-04, 2.076209e-02
-3.807360000000e-04, 1.954079e-02
-3.796800000000e-04, 2.076209e-02
-3.786240000000e-04, 2.076209e-02
-3.775680000000e-04, 2.076209e-02
-3.765120000000e-04, 2.076209e-02
-3.754560000000e-04, 2.076209e-02
-3.744000000000e-04, 2.076209e-02
-3.733440000000e-04, 2.076209e-02
-3.722880000000e-04, 1.954079e-02
-3.712320000000e-04, 2.076209e-02
-3.701760000000e-04, 2.076209e-02
-3.691200000000e-04, 2.076209e-02
-3.680640000000e-04, 2.076209e-02
-3.670080000000e-04, 2.076209e-02
-3.659520000000e-04, 2.076209e-02
-3.648960000000e-04, 2.076209e-02
-3.638400000000e-04, 2.076209e-02
-3.627840000000e-04, 2.076209e-02
-3.617280000000e-04, 2.076209e-02
-3.606720000000e-04, 1.954079e-02
-3.596160000000e-04, 2.076209e-02
-3.585600000000e-04, 1.954079e-02
-3.575040000000e-04, 2.076209e-02
-3.564480000000e-04, 2.076209e-02
-3.553920000000e-04, 1.954079e-02
-3.543360000000e-04, 1.831949e-02
-3.532800000000e-04, 1.831949e-02
-3.522240000000e-04, 1.831949e-02
-3.511680000000e-04, 1.954079e-02
-3.501120000000e-04, 2.076209e-02
-3.490560000000e-04, 1.831949e-02
-3.480000000000e-04, 1.831949e-02
-3.469440000000e-04, 1.954079e-02
-3.458880000000e-04, 2.076209e-02
-3.448320000000e-04, 1.831949e-02
-3.437760000000e-04, 2.076209e-02
-3.427200000000e-04, 1.954079e-02
-3.416640000000e-04, 1.831949e-02
-3.406080000000e-04, 1.831949e-02
-3.395520000000e-04, 1.831949e-02
-3.384960000000e-04, 1.954079e-02
-3.374400000000e-04, 1.954079e-02
-3.363840000000e-04, 1.831949e-02
-3.353280000000e-04, 1.831949e-02
-3.342720000000e-04, 1.831949e-02
-3.332160000000e-04, 1.831949e-02
-3.321600000000e-04, 1.831949e-02
-3.311040000000e-04, 1.831949e-02
-3.300480000000e-04, 1.831949e-02
-3.289920000000e-04, 1.831949e-02
-3.279360000000e-04, 1.831949e-02
-3.268800000000e-04, 1.831949e-02
-3.258240000000e-04, 1.831949e-02
-3.247680000000e-04, 1.831949e-02
-3.237120000000e-04, 1.831949e-02
-3.226560000000e-04, 1.831949e-02
-3.216000000000e-04, 1.831949e-02
-3.205440000000e-04, 1.954079e-02
-3.194880000000e-04, 1.954079e-02
-3.184320000000e-04, 2.076209e-02
-3.173760000000e-04, 1.954079e-02
-3.163200000000e-04, 2.076209e-02
-3.152640000000e-04, 2.076209e-02
-3.142080000000e-04, 2.076209e-02
-3.131520000000e-04, 2.076209e-02
-3.120960000000e-04, 2.076209e-02
-3.110400000000e-04, 2.076209e-02
-3.099840000000e-04, 2.076209e-02
-3.089280000000e-04, 2.198339e-02
-3.078720000000e-04, 2.076209e-02
-3.068160000000e-04, 2.076209e-02
-3.057600000000e-04, 2.076209e-02
-3.047040000000e-04, 2.198339e-02
-3.036480000000e-04, 2.198339e-02
-3.025920000000e-04, 2.320469e-02
-3.015360000000e-04, 2.076209e-02
-3.004800000000e-04, 2.076209e-02
-2.994240000000e-04, 2.076209e-02
-2.983680000000e-04, 2.076209e-02
-2.973120000000e-04, 2.076209e-02
-2.962560000000e-04, 2.198339e-02
-2.952000000000e-04, 2.198339e-02
-2.941440000000e-04, 2.076209e-02
-2.930880000000e-04, 2.198339e-02
-2.920320000000e-04, 2.076209e-02
-2.909760000000e-04, 2.076209e-02
-2.899200000000e-04, 2.198339e-02
-2.888640000000e-04, 2.198339e-02
-2.878080000000e-04, 2.076209e-02
-2.867520000000e-04, 2.076209e-02
-2.856960000000e-04, 2.076209e-02
-2.846400000000e-04, 2.076209e-02
-2.835840000000e-04, 2.198339e-02
-2.825280000000e-04, 2.320469e-02
-2.814720000000e-04, 2.198339e-02
-2.804160000000e-04, 2.076209e-02
-2.793600000000e-04, 2.320469e-02
-2.783040000000e-04, 2.320469e-02
-2.772480000000e-04, 2.320469e-02
-2.761920000000e-04, 2.198339e-02
-2.751360000000e-04, 2.198339e-02
-2.740800000000e-04, 2.320469e-02
-2.730240000000e-04, 2.198339e-02
-2.719680000000e-04, 2.198339e-02
-2.709120000000e-04, 2.076209e-02
-2.698560000000e-04, 2.198339e-02
-2.688000000000e-04, 2.076209e-02
-2.677440000000e-04, 2.198339e-02
-2.666880000000e-04, 2.076209e-02
-2.656320000000e-04, 2.076209e-02
-2.645760000000e-04, 2.076209e-02
-2.635200000000e-04, 2.076209e-02
-2.624640000000e-04, 2.076209e-02
-2.614080000000e-04, 2.076209e-02
-2.603520000000e-04, 2.076209e-02
-2.592960000000e-04, 2.076209e-02
-2.582400000000e-04, 1.954079e-02
-2.571840000000e-04, 2.076209e-02
-2.561280000000e-04, 2.076209e-02
-2.550720000000e-04, 2.076209e-02
-2.540160000000e-04, 2.076209e-02
-2.529600000000e-04, 2.076209e-02
-2.519040000000e-04, 2.076209e-02
-2.508480000000e-04, 2.076209e-02
-2.497920000000e-04, 2.076209e-02
-2.487360000000e-04, 2.076209e-02
-2.476800000000e-04, 2.076209e-02
-2.466240000000e-04, 2.076209e-02
