% Moku:Go Oscilloscope
% Channel A (Input 1, on), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
% Channel B (Input 2, off), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
% Time span 17.36 ms, time offset -7.035 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Sine, 500.000 000 Hz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2026-04-30 T 13:01:03 +0200
% Time (s), Channel A (Input 1) (V)
2.474921739130e-03, 4.982902e-01
2.492201739130e-03, 4.995115e-01
2.509481739130e-03, 4.982902e-01
2.526761739130e-03, 4.970689e-01
2.544041739130e-03, 4.934050e-01
2.561321739130e-03, 4.885198e-01
2.578601739130e-03, 4.799707e-01
2.595881739130e-03, 4.714216e-01
2.613161739130e-03, 4.628725e-01
2.630441739130e-03, 4.531021e-01
2.647721739130e-03, 4.408891e-01
2.665001739130e-03, 4.274548e-01
2.682281739130e-03, 4.140205e-01
2.699561739130e-03, 3.957010e-01
2.716841739130e-03, 3.798242e-01
2.734121739130e-03, 3.627260e-01
2.751401739130e-03, 3.444065e-01
2.768681739130e-03, 3.236444e-01
2.785961739130e-03, 3.016610e-01
2.803241739130e-03, 2.808989e-01
2.820521739130e-03, 2.576942e-01
2.837801739130e-03, 2.344895e-01
2.855081739130e-03, 2.076209e-01
2.872361739130e-03, 1.844162e-01
2.889641739130e-03, 1.587689e-01
2.906921739130e-03, 1.331216e-01
2.924201739130e-03, 1.074744e-01
2.941481739130e-03, 8.060577e-02
2.958761739130e-03, 5.373718e-02
2.976041739130e-03, 2.686859e-02
2.993321739130e-03, 0.000000e+00
3.010601739130e-03, -2.808989e-02
3.027881739130e-03, -5.617978e-02
3.045161739130e-03, -8.182707e-02
3.062441739130e-03, -1.074744e-01
3.079721739130e-03, -1.343429e-01
3.097001739130e-03, -1.612115e-01
3.114281739130e-03, -1.856375e-01
