% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 400 Hz, stop freq 600 Hz, RBW 977.5 mHz (Auto mode), Hann window, Video filter off
% Averaging: 1 spectra per frame, 10 frame averages
% Output 1 (on) - 500.000 000 Hz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-04-30 T 13:18:33 +0200
% Frequency (Hz), Input 1 (dBm)
4.585428784291e+02, -8.340657e+01
4.587415605783e+02, -8.341502e+01
4.589402427276e+02, -8.404348e+01
4.591389248768e+02, -8.332583e+01
4.593376070261e+02, -8.191587e+01
4.595362891754e+02, -8.106923e+01
4.597349713246e+02, -8.075891e+01
4.599336534739e+02, -8.075085e+01
4.601323356231e+02, -8.096608e+01
4.603310177724e+02, -8.118099e+01
4.605296999216e+02, -8.184214e+01
4.607283820709e+02, -8.154976e+01
4.609270642201e+02, -8.098520e+01
4.611257463694e+02, -8.078294e+01
4.613244285186e+02, -8.121694e+01
4.615231106679e+02, -8.194207e+01
4.617217928171e+02, -8.152726e+01
4.619204749664e+02, -8.077921e+01
4.621191571156e+02, -8.129909e+01
4.623178392649e+02, -8.125123e+01
4.625165214141e+02, -8.119565e+01
4.627152035634e+02, -8.263593e+01
4.629138857126e+02, -8.360214e+01
4.631125678619e+02, -8.332639e+01
4.633112500111e+02, -8.509523e+01
4.635099321604e+02, -8.505880e+01
4.637086143096e+02, -8.610770e+01
4.639072964589e+02, -8.343725e+01
4.641059786081e+02, -8.203815e+01
4.643046607574e+02, -8.229402e+01
4.645033429066e+02, -8.264504e+01
4.647020250559e+02, -8.218512e+01
4.649007072051e+02, -8.088218e+01
4.650993893544e+02, -8.087271e+01
4.652980715036e+02, -8.272621e+01
4.654967536529e+02, -8.228035e+01
4.656954358021e+02, -8.218921e+01
4.658941179514e+02, -8.295743e+01
4.660928001006e+02, -8.403084e+01
4.662914822499e+02, -8.540225e+01
4.664901643991e+02, -8.495666e+01
4.666888465484e+02, -8.531406e+01
4.668875286976e+02, -8.696387e+01
4.670862108469e+02, -8.813155e+01
4.672848929962e+02, -8.503082e+01
4.674835751454e+02, -8.246799e+01
4.676822572947e+02, -8.135662e+01
4.678809394439e+02, -8.107591e+01
4.680796215932e+02, -8.142341e+01
4.682783037424e+02, -8.183077e+01
4.684769858917e+02, -8.276446e+01
4.686756680409e+02, -8.435149e+01
4.688743501902e+02, -8.590957e+01
4.690730323394e+02, -8.758819e+01
4.692717144887e+02, -8.533636e+01
4.694703966379e+02, -8.450634e+01
4.696690787872e+02, -8.554314e+01
4.698677609364e+02, -8.762804e+01
4.700664430857e+02, -8.563197e+01
4.702651252349e+02, -8.356197e+01
4.704638073842e+02, -8.191791e+01
4.706624895334e+02, -8.150812e+01
4.708611716827e+02, -8.237024e+01
4.710598538319e+02, -8.208773e+01
4.712585359812e+02, -8.323849e+01
4.714572181304e+02, -8.373680e+01
4.716559002797e+02, -8.464837e+01
4.718545824289e+02, -8.511148e+01
4.720532645782e+02, -8.572764e+01
4.722519467274e+02, -8.601768e+01
4.724506288767e+02, -8.473549e+01
4.726493110259e+02, -8.391113e+01
4.728479931752e+02, -8.409203e+01
4.730466753244e+02, -8.249218e+01
4.732453574737e+02, -8.221413e+01
4.734440396229e+02, -8.030182e+01
4.736427217722e+02, -7.943802e+01
4.738414039214e+02, -7.908097e+01
4.740400860707e+02, -7.906000e+01
4.742387682199e+02, -7.927595e+01
4.744374503692e+02, -7.954202e+01
4.746361325185e+02, -8.006584e+01
4.748348146677e+02, -8.051380e+01
4.750334968170e+02, -8.185792e+01
4.752321789662e+02, -8.341817e+01
4.754308611155e+02, -8.457714e+01
4.756295432647e+02, -8.448187e+01
4.758282254140e+02, -8.397264e+01
4.760269075632e+02, -8.276421e+01
4.762255897125e+02, -8.246828e+01
4.764242718617e+02, -8.267242e+01
4.766229540110e+02, -8.263928e+01
4.768216361602e+02, -8.230410e+01
4.770203183095e+02, -8.253834e+01
4.772190004587e+02, -8.355588e+01
4.774176826080e+02, -8.280211e+01
4.776163647572e+02, -8.244046e+01
4.778150469065e+02, -8.271056e+01
4.780137290557e+02, -8.294719e+01
4.782124112050e+02, -8.286495e+01
4.784110933542e+02, -8.316690e+01
4.786097755035e+02, -8.244164e+01
4.788084576527e+02, -8.227171e+01
4.790071398020e+02, -8.338281e+01
4.792058219512e+02, -8.323098e+01
4.794045041005e+02, -8.222146e+01
4.796031862497e+02, -8.146564e+01
4.798018683990e+02, -8.189052e+01
4.800005505482e+02, -8.200146e+01
4.801992326975e+02, -8.123066e+01
4.803979148467e+02, -8.211961e+01
4.805965969960e+02, -8.567862e+01
4.807952791452e+02, -8.341158e+01
4.809939612945e+02, -8.357202e+01
4.811926434437e+02, -8.461059e+01
4.813913255930e+02, -8.550633e+01
4.815900077422e+02, -8.496493e+01
4.817886898915e+02, -8.331105e+01
4.819873720407e+02, -8.225971e+01
4.821860541900e+02, -8.129542e+01
4.823847363393e+02, -8.129824e+01
4.825834184885e+02, -8.131258e+01
4.827821006378e+02, -8.121167e+01
4.829807827870e+02, -8.177061e+01
4.831794649363e+02, -8.254697e+01
4.833781470855e+02, -8.200030e+01
4.835768292348e+02, -8.190755e+01
4.837755113840e+02, -8.255730e+01
4.839741935333e+02, -8.520507e+01
4.841728756825e+02, -8.322988e+01
4.843715578318e+02, -8.229393e+01
4.845702399810e+02, -8.197481e+01
4.847689221303e+02, -8.322053e+01
4.849676042795e+02, -8.540439e+01
4.851662864288e+02, -8.706481e+01
4.853649685780e+02, -8.394629e+01
4.855636507273e+02, -8.662201e+01
4.857623328765e+02, -8.547735e+01
4.859610150258e+02, -8.374925e+01
4.861596971750e+02, -8.237418e+01
4.863583793243e+02, -8.286926e+01
4.865570614735e+02, -8.293465e+01
4.867557436228e+02, -8.213336e+01
4.869544257720e+02, -8.416208e+01
4.871531079213e+02, -8.151111e+01
4.873517900705e+02, -8.075338e+01
4.875504722198e+02, -8.338809e+01
4.877491543690e+02, -8.440380e+01
4.879478365183e+02, -8.145789e+01
4.881465186675e+02, -8.562723e+01
4.883452008168e+02, -8.112020e+01
4.885438829660e+02, -7.762320e+01
4.887425651153e+02, -7.829789e+01
4.889412472645e+02, -8.477193e+01
4.891399294138e+02, -8.265109e+01
4.893386115630e+02, -8.173914e+01
4.895372937123e+02, -8.299254e+01
4.897359758615e+02, -7.724231e+01
4.899346580108e+02, -7.534905e+01
4.901333401601e+02, -8.006015e+01
4.903320223093e+02, -8.011244e+01
4.905307044586e+02, -7.687135e+01
4.907293866078e+02, -8.046839e+01
4.909280687571e+02, -8.007522e+01
4.911267509063e+02, -7.468074e+01
4.913254330556e+02, -7.520709e+01
4.915241152048e+02, -8.237695e+01
4.917227973541e+02, -7.380002e+01
4.919214795033e+02, -7.172350e+01
4.921201616526e+02, -8.079973e+01
4.923188438018e+02, -7.476838e+01
4.925175259511e+02, -6.977343e+01
4.927162081003e+02, -7.483289e+01
4.929148902496e+02, -7.705732e+01
4.931135723988e+02, -6.782773e+01
4.933122545481e+02, -6.955162e+01
4.935109366973e+02, -8.231560e+01
4.937096188466e+02, -6.571667e+01
4.939083009958e+02, -6.494995e+01
4.941069831451e+02, -7.786412e+01
4.943056652943e+02, -6.528916e+01
4.945043474436e+02, -6.179584e+01
4.947030295928e+02, -6.900449e+01
4.949017117421e+02, -6.469731e+01
4.951003938913e+02, -5.830269e+01
4.952990760406e+02, -6.134216e+01
4.954977581898e+02, -6.709398e+01
4.956964403391e+02, -5.541700e+01
4.958951224883e+02, -5.556020e+01
4.960938046376e+02, -7.957709e+01
4.962924867868e+02, -5.262230e+01
4.964911689361e+02, -5.012576e+01
4.966898510853e+02, -6.021538e+01
4.968885332346e+02, -4.999964e+01
4.970872153838e+02, -4.453949e+01
4.972858975331e+02, -4.868475e+01
4.974845796824e+02, -4.796495e+01
4.976832618316e+02, -3.842734e+01
